store_id,store_name,city,state,contact_no,opening_date
1,Lucknow Hazratganj,Asansol,Gujarat,5051547740,2020-04-29
2,Noida Sector 18,Mirzapur,Manipur,04198397952,2016-12-25
3,Delhi Connaught Place,Kottayam,Haryana,2597667951,2017-05-24
4,Gurugram Cyber City,Karaikudi,Uttar Pradesh,06851567170,2019-04-05
5,Mumbai Andheri,Ghaziabad,Sikkim,3217222949,2017-11-16
6,Pune Hinjewadi,Kollam,Mizoram,0415398817,2016-11-21
7,Bengaluru MG Road,Dewas,Sikkim,08700053261,2019-03-08
8,Hyderabad Banjara Hills,Agartala,Punjab,+913707687390,2019-12-28
9,Chennai T Nagar,Motihari,Punjab,+916730536876,2016-10-01
10,Kolkata Park Street,Ulhasnagar,Karnataka,07785664193,2017-10-07
